2020-07-16 21:35:07 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2020-07-16 21:35:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2020-07-16 21:35:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2020-07-16 21:35:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2020-07-16 21:35:07 INFO  Version:46 - HHH000412: Hibernate Core {5.4.10.Final}
2020-07-16 21:35:07 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2020-07-16 21:35:07 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2020-07-16 21:35:07 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2020-07-16 21:35:08 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2020-07-16 21:35:08 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2020-07-16 21:35:08 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2020-07-16 21:35:08 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2020-07-16 21:35:08 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2020-07-16 21:35:08 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@7709a0ab
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@7709a0ab
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7709a0ab
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@95cdbd7
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3b78edc9
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@118294ca
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@4156864d
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@4156864d
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4156864d
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@7daac3bb
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@7daac3bb
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7daac3bb
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@e11b3d3
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@e11b3d3
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@e11b3d3
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@343e880b
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@343e880b
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@343e880b
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@22f31440
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@22f31440
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@22f31440
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@31c156bf
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@31c156bf
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@31c156bf
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@890d888
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@890d888
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@890d888
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@300f4393
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@300f4393
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@594be9d6
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@594be9d6
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@4a069b51
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@4a069b51
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1ffae6e2
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@6365117c
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@fc6a90c
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@fc6a90c
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@223e786f
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@223e786f
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@c724b7c
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@c724b7c
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@5f7548ac
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@5f7548ac
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@23c15341
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@23c15341
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2901289d
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2901289d
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5e9a4e0e
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@5e9a4e0e
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@147e3e38
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@147e3e38
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6b9c69a4
2020-07-16 21:35:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6b9c69a4
